	rank	domain	news	ecommerce	http	http_www	https	https_www	country	zone	yearly_ca_visitors	government	real_govt	enough_ca_visitors	revenue_criteria	Satisfies criteria?
131	BG-001	olx.bg	False	True	True	True	True	True	BG	EU	-1.0	False		False	True	True
132	BG-002	emag.bg	False	True	True	True	True	True	BG	EU	-1.0	False		False	True	True
135	BG-005	ozone.bg	False	True	True	True	True	True	BG	EU	-1.0	False		False	True	True
44	GR-005	in.gr	True	False	True	True	True	True	GR	EU	-1.0	False		False	True	True
157	GR-001	skroutz.gr	False	True	True	True	True	True	GR	EU	-1.0	False		False	True	True
159	GR-004	public.gr	False	True	True	True	True	True	GR	EU	-1.0	False		False	True	True
160	GR-005	lidl-hellas.gr	False	True	True	True	True	True	GR	EU	-1.0	False		False	True	True
15	HR-002	jutarnji.hr	True	False	True	True	True	True	HR	EU	-1.0	False		False	True	True
16	HR-003	vecernji.hr	True	False	True	True	True	True	HR	EU	-1.0	False		False	True	True
17	HR-004	24sata.hr	True	False	True	True	True	True	HR	EU	-1.0	False		False	True	True
18	HR-005	slobodnadalmacija.hr	True	False	True	True	True	True	HR	EU	-1.0	False		False	True	True
136	HR-001	njuskalo.hr	False	True	True	True	True	True	HR	EU	-1.0	False		False	True	True
137	HR-005	pevex.hr	False	True	True	True	True	True	HR	EU	-1.0	False		False	True	True
62	PL-001	wp.pl	True	False	True	True	True	True	PL	EU	-1.0	False		False	True	True
63	PL-002	onet.pl	True	False	True	True	True	True	PL	EU	-1.0	False		False	True	True
65	PL-004	o2.pl	True	False	True	True	True	True	PL	EU	-1.0	False		False	True	True
66	PL-005	gazeta.pl	True	False	True	True	True	True	PL	EU	-1.0	False		False	True	True
173	PL-001	allegro.pl	False	True	True	True	True	True	PL	EU	-1.0	False		False	True	True
174	PL-002	olx.pl	False	True	True	True	True	True	PL	EU	-1.0	False		False	True	True
175	PL-003	ceneo.pl	False	True	True	True	True	True	PL	EU	-1.0	False		False	True	True
19	CZ-001	novinky.cz	True	False	True	True	True	True	CZ	EU	-1.0	False		False	True	True
20	CZ-002	idnes.cz	True	False	True	True	True	True	CZ	EU	-1.0	False		False	True	True
21	CZ-003	aktualne.cz	True	False	True	True	True	True	CZ	EU	-1.0	False		False	True	True
22	CZ-004	denik.cz	True	False	True	True	True	True	CZ	EU	-1.0	False		False	True	True
23	CZ-005	centrum.cz	True	False	True	True	True	True	CZ	EU	-1.0	False		False	True	True
138	CZ-001	alza.cz	False	True	True	True	True	True	CZ	EU	-1.0	False		False	True	True
139	CZ-002	heureka.cz	False	True	True	True	True	True	CZ	EU	-1.0	False		False	True	True
141	CZ-004	zbozi.cz	False	True	True	True	True	True	CZ	EU	-1.0	False		False	True	True
142	CZ-005	kupi.cz	False	True	True	True	True	True	CZ	EU	-1.0	False		False	True	True
74	SK-001	aktuality.sk	True	False	True	True	True	True	SK	EU	-1.0	False		False	True	True
75	SK-002	topky.sk	True	False	True	True	True	True	SK	EU	-1.0	False		False	True	True
76	SK-003	sme.sk	True	False	True	True	True	True	SK	EU	-1.0	False		False	True	True
